"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"2","Los Angeles",222,150,"182","28","","0","0","2017-11-07"
"3","Los Angeles",233,139,"183","41","","0","0","2017-11-08"
"4","Los Angeles",211,156,"181","44","","0","0","2017-11-09"
"5","Los Angeles",206,139,"177","30","","0","0","2017-11-10"
"6","Los Angeles",211,128,"166","26","","0","0","2017-11-11"
"7","Los Angeles",200,133,"165","24","","0","0","2017-11-12"
"8","Los Angeles",211,122,"165","21","","0","0","2017-11-13"
"9","Los Angeles",233,122,"171","25","","0","0","2017-11-14"
"10","Los Angeles",244,139,"185","23","","0","0","2017-11-15"
"11","Los Angeles",244,144,"193","26","","0","0","2017-11-16"
"12","Los Angeles",211,156,"194","41","","0","0","2017-11-17"
"13","Los Angeles",244,128,"177","26","","0","0","2017-11-18"
"14","Los Angeles",244,133,"181","29","","0","0","2017-11-19"
"15","Los Angeles",222,111,"164","21","","0","0","2017-11-20"
"16","Los Angeles",261,144,"196","23","","0","0","2017-11-21"
"17","Los Angeles",344,167,"231","17","","0","0","2017-11-22"
"18","Los Angeles",328,178,"250","28","","0","0","2017-11-23"
"19","Los Angeles",278,144,"204","20","","0","0","2017-11-24"
"20","Los Angeles",278,150,"203","22","","0","0","2017-11-25"
"21","Los Angeles",183,150,"159","31","","0","0","2017-11-26"
"22","Los Angeles",194,133,"166","41","","3","0","2017-11-27"
"23","Los Angeles",250,100,"162","26","","0","0","2017-11-28"
"24","Los Angeles",233,122,"165","21","","0","0","2017-11-29"
"25","Los Angeles",222,111,"159","23","","0","0","2017-11-30"
"26","Los Angeles",206,117,"158","","","0","","2017-12-01"
"28","New York City",94,44,"","29","","178","0","2017-11-07"
"29","New York City",94,39,"","24","","0","0","2017-11-08"
"30","New York City",128,39,"","15","","0","0","2017-11-09"
"31","New York City",106,-38,"","42","","3","0","2017-11-10"
"32","New York City",33,-43,"","21","","0","0","2017-11-11"
"33","New York City",78,0,"","8","","0","0","2017-11-12"
"34","New York City",83,39,"","16","","18","0","2017-11-13"
"35","New York City",89,17,"","22","","0","0","2017-11-14"
"36","New York City",106,28,"","23","","0","0","2017-11-15"
"37","New York City",139,61,"","29","","51","0","2017-11-16"
"38","New York City",83,28,"","35","","0","0","2017-11-17"
"39","New York City",133,11,"","15","","25","0","2017-11-18"
"40","New York City",150,33,"","43","","58","0","2017-11-19"
"41","New York City",83,22,"","30","","0","0","2017-11-20"
"42","New York City",144,56,"","23","","0","0","2017-11-21"
"43","New York City",133,17,"","30","","53","0","2017-11-22"
