"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"89","New York City",144,56,"","18","","0","0","2017-10-17"
"90","New York City",222,100,"","17","","0","0","2017-10-18"
"91","New York City",217,133,"","20","","0","0","2017-10-19"
"92","New York City",228,139,"","18","","0","0","2017-10-20"
"93","New York City",256,133,"","10","","0","0","2017-10-21"
"94","New York City",244,139,"","7","","0","0","2017-10-22"
"95","New York City",233,161,"","16","","0","0","2017-10-23"
"96","New York City",233,194,"","25","","51","0","2017-10-24"
"97","New York City",194,139,"","9","","0","0","2017-10-25"
"98","New York City",144,100,"","27","","0","0","2017-10-26"
"99","New York City",167,83,"","17","","0","0","2017-10-27"
"100","New York City",206,128,"","22","","0","0","2017-10-28"
"101","New York City",194,156,"","30","","770","0","2017-10-29"
"102","New York City",161,78,"","39","","64","0","2017-10-30"
"103","New York City",139,72,"","26","","0","0","2017-10-31"
"104","New York City",150,61,"","11","","0","0","2017-11-01"
"105","New York City",222,144,"","11","","0","0","2017-11-02"
"106","New York City",233,106,"","25","","0","0","2017-11-03"
"107","New York City",133,78,"","26","","0","0","2017-11-04"
"108","New York City",161,106,"","19","","5","0","2017-11-05"
"109","New York City",189,78,"","22","","3","0","2017-11-06"
"110","New York City",94,44,"","29","","178","0","2017-11-07"
"111","New York City",94,39,"","24","","0","0","2017-11-08"
"112","New York City",128,39,"","15","","0","0","2017-11-09"
"113","New York City",106,-38,"","42","","3","0","2017-11-10"
"114","New York City",33,-43,"","21","","0","0","2017-11-11"
"115","New York City",78,0,"","8","","0","0","2017-11-12"
"116","New York City",83,39,"","16","","18","0","2017-11-13"
"117","New York City",89,17,"","22","","0","0","2017-11-14"
"118","New York City",106,28,"","23","","0","0","2017-11-15"
"119","New York City",139,61,"","29","","51","0","2017-11-16"
"120","New York City",83,28,"","35","","0","0","2017-11-17"
"121","New York City",133,11,"","15","","25","0","2017-11-18"
"122","New York City",150,33,"","43","","58","0","2017-11-19"
"123","New York City",83,22,"","30","","0","0","2017-11-20"
"124","New York City",144,56,"","23","","0","0","2017-11-21"
"125","New York City",133,17,"","30","","53","0","2017-11-22"
"126","New York City",61,-5,"","21","","0","0","2017-11-23"
"127","New York City",100,17,"","17","","0","0","2017-11-24"
"128","New York City",139,61,"","18","","0","0","2017-11-25"
"129","New York City",106,44,"","30","","0","0","2017-11-26"
"130","New York City",106,39,"","29","","0","0","2017-11-27"
"131","New York City",122,22,"","20","","0","0","2017-11-28"
"132","New York City",172,56,"","24","","0","0","2017-11-29"
"133","New York City",117,33,"","20","","8","0","2017-11-30"
"134","New York City",111,56,"","24","","0","0","2017-12-01"
"135","New York City",89,39,"","14","","0","0","2017-12-02"
"136","New York City",89,56,"","9","","0","0","2017-12-03"
"137","New York City",106,44,"","16","","0","0","2017-12-04"
"138","New York City",161,100,"","30","","191","0","2017-12-05"
"139","New York City",150,44,"","34","","0","0","2017-12-06"
"140","New York City",67,28,"","30","","0","0","2017-12-07"
"141","New York City",39,11,"","22","","0","0","2017-12-08"
"142","New York City",17,-10,"","19","","117","117","2017-12-09"
"143","Yuma",378,200,"","16","","0","0","2017-09-30"
"144","Yuma",356,211,"","26","","0","0","2017-10-01"
"145","Yuma",333,206,"","20","","0","0","2017-10-02"
"146","Yuma",333,217,"","39","","0","0","2017-10-03"
"147","Yuma",350,194,"","22","","0","0","2017-10-04"
"148","Yuma",361,194,"","19","","0","0","2017-10-05"
"149","Yuma",367,200,"","39","","0","0","2017-10-06"
"150","Yuma",367,200,"","27","","0","0","2017-10-07"
"151","Yuma",361,178,"","35","","0","0","2017-10-08"
"152","Yuma",294,206,"","58","","0","0","2017-10-09"
"153","Yuma",328,161,"","28","","0","0","2017-10-10"
"154","Yuma",344,161,"","13","","0","0","2017-10-11"
"155","Yuma",333,172,"","18","","0","0","2017-10-12"
"156","Yuma",344,189,"","20","","0","0","2017-10-13"
"157","Yuma",356,178,"","27","","0","0","2017-10-14"
"158","Yuma",339,206,"","42","","0","0","2017-10-15"
"159","Yuma",361,211,"","34","","0","0","2017-10-16"
"160","Yuma",372,222,"","20","","0","0","2017-10-17"
"161","Yuma",367,189,"","9","","0","0","2017-10-18"
"162","Yuma",350,194,"","22","","0","0","2017-10-19"
"163","Yuma",306,194,"","60","","0","0","2017-10-20"
"164","Yuma",306,167,"","38","","0","0","2017-10-21"
"165","Yuma",328,172,"","32","","0","0","2017-10-22"
"166","Yuma",367,167,"","35","","0","0","2017-10-23"
"167","Yuma",372,239,"","42","","0","0","2017-10-24"
"168","Yuma",367,211,"","23","","0","0","2017-10-25"
"169","Yuma",344,167,"","10","","0","0","2017-10-26"
"170","Yuma",350,172,"","25","","0","0","2017-10-27"
"171","Yuma",350,183,"","23","","0","0","2017-10-28"
"172","Yuma",339,178,"","22","","0","0","2017-10-29"
"173","Yuma",311,189,"","30","","0","0","2017-10-30"
"174","Yuma",272,183,"","28","","0","0","2017-10-31"
"175","Yuma",283,183,"","38","","0","0","2017-11-01"
"176","Yuma",272,172,"","26","","0","0","2017-11-02"
"177","Yuma",244,161,"","11","","0","0","2017-11-03"
"178","Yuma",272,161,"","15","","0","0","2017-11-04"
"179","Yuma",278,150,"","29","","0","0","2017-11-05"
"180","Yuma",278,161,"","12","","0","0","2017-11-06"
"181","Yuma",267,183,"","20","","18","0","2017-11-07"
"182","Yuma",272,156,"","18","","0","0","2017-11-08"
"183","Yuma",283,150,"","9","","0","0","2017-11-09"
"184","Yuma",289,128,"","8","","0","0","2017-11-10"
"185","Yuma",294,144,"","11","","0","0","2017-11-11"
"186","Yuma",300,156,"","23","","0","0","2017-11-12"
"187","Yuma",306,161,"","17","","0","0","2017-11-13"
"188","Yuma",317,161,"","19","","0","0","2017-11-14"
"189","Yuma",283,161,"","27","","0","0","2017-11-15"
