"","Location","TMAX","TMIN","TAVG","AWND","AWDR","PRCP","SNOW","Date"
"1","Los Angeles",294,106,"207","13","","0","0","2017-12-10"
"2","Los Angeles",283,139,"216","19","","0","0","2017-12-11"
"3","Los Angeles",278,122,"188","19","","0","0","2017-12-12"
"4","Los Angeles",267,106,"183","17","","0","0","2017-12-13"
"5","Los Angeles",222,94,"159","24","","0","0","2017-12-14"
"6","Los Angeles",272,106,"180","22","","0","0","2017-12-15"
"7","Los Angeles",189,117,"161","27","","0","0","2017-12-16"
"8","Los Angeles",233,133,"167","28","","0","0","2017-12-17"
"9","Los Angeles",222,100,"169","22","","0","0","2017-12-18"
"10","Los Angeles",194,94,"145","26","","0","0","2017-12-19"
"11","Los Angeles",156,83,"132","41","","3","","2017-12-20"
"12","Los Angeles",167,94,"130","36","","0","0","2017-12-21"
"13","Los Angeles",178,50,"122","23","","0","0","2017-12-22"
"14","Los Angeles",183,78,"133","21","","0","0","2017-12-23"
"15","Los Angeles",217,89,"147","21","","0","0","2017-12-24"
"16","Los Angeles",194,89,"135","23","","0","0","2017-12-25"
"17","Los Angeles",178,83,"134","18","","0","0","2017-12-26"
"18","Los Angeles",233,94,"148","21","","0","0","2017-12-27"
"19","Los Angeles",222,100,"152","22","","0","0","2017-12-28"
"20","Los Angeles",261,106,"173","21","","0","0","2017-12-29"
"21","Los Angeles",200,100,"153","21","","0","","2017-12-30"
"22","Los Angeles",217,111,"134","20","","0","","2017-12-31"
"23","Los Angeles",194,89,"138","18","","0","0","2018-01-01"
"24","Los Angeles",244,122,"154","24","","0","0","2018-01-02"
"25","Los Angeles",244,122,"167","22","","0","0","2018-01-03"
"26","Los Angeles",233,128,"168","28","","0","0","2018-01-04"
"27","Los Angeles",206,133,"168","26","","0","0","2018-01-05"
"28","Los Angeles",178,139,"153","26","","0","0","2018-01-06"
"29","Los Angeles",206,139,"166","23","","0","0","2018-01-07"
"30","Los Angeles",194,156,"173","23","","71","0","2018-01-08"
"31","Los Angeles",172,117,"154","49","","284","0","2018-01-09"
"32","Los Angeles",178,100,"132","27","","0","0","2018-01-10"
"33","New York City",39,-16,"","29","","0","0","2017-12-10"
"34","New York City",50,6,"","24","","0","0","2017-12-11"
"35","New York City",100,-16,"","33","","0","0","2017-12-12"
"36","New York City",-5,-66,"","48","","0","0","2017-12-13"
"37","New York City",0,-55,"","26","","23","30","2017-12-14"
"38","New York City",-21,-66,"","17","","28","30","2017-12-15"
"39","New York City",39,-49,"","30","","0","0","2017-12-16"
"40","New York City",33,0,"","13","","0","0","2017-12-17"
"41","New York City",83,11,"","22","","5","0","2017-12-18"
"42","New York City",128,72,"","34","","0","0","2017-12-19"
"43","New York City",106,11,"","33","","0","0","2017-12-20"
"44","New York City",39,0,"","18","","0","0","2017-12-21"
"45","New York City",100,17,"","18","","0","0","2017-12-22"
"46","New York City",89,33,"","22","","124","0","2017-12-23"
"47","New York City",50,22,"","35","","3","0","2017-12-24"
"48","New York City",33,-21,"","49","","58","0","2017-12-25"
"49","New York City",-21,-49,"","39","","0","0","2017-12-26"
"50","New York City",-43,-82,"","28","","0","0","2017-12-27"
"51","New York City",-77,-116,"","36","","0","0","2017-12-28"
"52","New York City",-55,-116,"","30","","0","0","2017-12-29"
"53","New York City",-49,-82,"","24","","13","18","2017-12-30"
"54","New York City",-60,-127,"","41","","0","0","2017-12-31"
"55","New York City",-71,-138,"","35","","0","0","2018-01-01"
"56","New York City",-32,-105,"","36","","0","0","2018-01-02"
"57","New York City",-10,-88,"","14","","0","0","2018-01-03"
"58","New York City",-16,-71,"","56","","193","249","2018-01-04"
"59","New York City",-71,-127,"","58","","0","0","2018-01-05"
"60","New York City",-105,-143,"","49","","0","0","2018-01-06"
"61","New York City",-77,-149,"","29","","0","0","2018-01-07"
"62","New York City",-5,-82,"","26","","3","0","2018-01-08"
"63","New York City",67,-10,"","30","","0","0","2018-01-09"
"64","New York City",61,-10,"","19","","0","0","2018-01-10"
"65","Yuma",239,111,"","24","","0","0","2017-12-10"
"66","Yuma",261,128,"","33","","0","0","2017-12-11"
"67","Yuma",250,89,"","33","","0","0","2017-12-12"
"68","Yuma",261,106,"","26","","0","0","2017-12-13"
"69","Yuma",256,67,"","44","","0","0","2017-12-14"
"70","Yuma",250,106,"","30","","0","0","2017-12-15"
"71","Yuma",211,94,"","26","","0","0","2017-12-16"
"72","Yuma",206,106,"","44","","0","0","2017-12-17"
"73","Yuma",211,94,"","33","","0","0","2017-12-18"
"74","Yuma",217,56,"","15","","0","0","2017-12-19"
"75","Yuma",222,61,"","25","","0","0","2017-12-20"
"76","Yuma",156,56,"","49","","0","0","2017-12-21"
"77","Yuma",172,11,"","18","","0","0","2017-12-22"
"78","Yuma",183,44,"","29","","0","0","2017-12-23"
"79","Yuma",211,61,"","26","","0","0","2017-12-24"
"80","Yuma",217,56,"","26","","0","0","2017-12-25"
"81","Yuma",206,72,"","24","","0","0","2017-12-26"
"82","Yuma",244,89,"","21","","0","0","2017-12-27"
"83","Yuma",256,83,"","28","","0","0","2017-12-28"
"84","Yuma",267,94,"","31","","0","0","2017-12-29"
"85","Yuma",261,89,"","25","","0","0","2017-12-30"
"86","Yuma",228,78,"","25","","0","","2017-12-31"
