website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,los angeles,sunny,22,9,,6,NW,33.0,,,week,29-12-2017
bbc.com,los angeles,light cloud,18,7,11.75,5,WNW,51.5,,,day,23-12-2017
bbc.com,yuma,sunny,22,9,,14,NNE,16.0,,,week,29-12-2017
bbc.com,yuma,light cloud,18,5,10.25,10,N,29.75,,,day,23-12-2017
bbc.com,tucson international airport,sunny,21,5,,11,SE,19.0,,,week,29-12-2017
bbc.com,tucson international airport,sunny,18,7,11.5,8,E,52.25,,,day,23-12-2017
bbc.com,san antonio,light cloud,15,5,10.375,10,NNW,63.875,,,day,23-12-2017
bbc.com,san antonio,sunny,14,2,,16,ENE,63.0,,,week,29-12-2017
bbc.com,beaumont,light cloud,14,8,11.125,14,NNW,75.25,,,day,23-12-2017
bbc.com,beaumont,sunny,14,5,,16,E,69.0,,,week,29-12-2017
bbc.com,houma,sunny,16,7,,19,E,71.0,,,week,29-12-2017
bbc.com,pensacola,light cloud,23,13,19.625,24,SW,87.125,,,day,23-12-2017
bbc.com,pensacola,sunny intervals,15,6,,18,ENE,73.0,,,week,29-12-2017
bbc.com,valdosta regional airport,light cloud,23,18,19.25,18,SSW,90.125,,,day,23-12-2017
bbc.com,valdosta regional airport,light cloud,15,6,,13,N,76.0,,,week,29-12-2017
bbc.com,houma,light cloud,22,11,16.75,14,NW,83.25,,,day,23-12-2017
bbc.com,miami,sunny intervals,26,20,,16,SE,73.0,,,week,29-12-2017
bbc.com,columbia metropolitan airport,light cloud,20,13,17.0,23,SSW,86.75,,,day,23-12-2017
bbc.com,columbia metropolitan airport,sunny intervals,6,0,,11,NNE,73.0,,,week,29-12-2017
bbc.com,atlanta,light rain,21,8,15.0,29,SSW,90.125,,,day,23-12-2017
bbc.com,miami,sunny,25,20,23.625,13,SE,77.375,,,day,23-12-2017
bbc.com,atlanta,sunny intervals,8,0,,18,NE,76.0,,,week,29-12-2017
bbc.com,tuscaloosa municipal airport,thundery shower,20,8,13.75,19,W,84.625,,,day,23-12-2017
bbc.com,tuscaloosa municipal airport,sunny,10,0,,13,NE,67.0,,,week,29-12-2017
bbc.com,oklahoma city,sunny,2,-5,,18,N,55.0,,,week,29-12-2017
bbc.com,amarillo,sunny,13,-3,4.5,23,SW,45.875,,,day,23-12-2017
bbc.com,amarillo,sunny,6,-7,,26,ESE,49.0,,,week,29-12-2017
bbc.com,albuquerque,light cloud,10,0,3.375,10,SSW,53.0,,,day,23-12-2017
bbc.com,albuquerque,sunny,10,-2,,10,E,30.0,,,week,29-12-2017
bbc.com,little rock,sunny,5,-3,,13,NNE,60.0,,,week,29-12-2017
bbc.com,oklahoma city,sunny intervals,4,0,1.125,5,N,79.0,,,day,23-12-2017
bbc.com,little rock,thick cloud,9,5,6.875,13,NNW,82.0,,,day,23-12-2017
bbc.com,flagstaff,sunny,9,-1,,13,NE,24.0,,,week,29-12-2017
bbc.com,sacramento,light cloud,11,5,7.0,5,N,74.125,,,day,23-12-2017
bbc.com,fresno,sunny,15,3,,5,E,61.0,,,week,29-12-2017
bbc.com,fresno,light cloud,13,3,7.125,2,W,71.375,,,day,23-12-2017
bbc.com,las vegas,sunny,14,5,,5,NE,22.0,,,week,29-12-2017
bbc.com,flagstaff,sunny,10,-2,3.125,11,WSW,37.375,,,day,23-12-2017
bbc.com,las vegas,light cloud,10,-1,5.0,3,ENE,48.875,,,day,23-12-2017
bbc.com,sacramento,sunny intervals,15,3,,6,N,62.0,,,week,29-12-2017
bbc.com,salt lake city,light cloud,4,-6,,13,W,72.0,,,week,29-12-2017
bbc.com,salt lake city,light cloud,7,-2,1.625,16,SSW,81.0,,,day,23-12-2017
bbc.com,kansas city,light cloud,-4,-10,,14,NNE,50.0,,,week,29-12-2017
bbc.com,grand junction regional airport,sunny,3,-7,,6,N,38.0,,,week,29-12-2017
bbc.com,denver,sunny intervals,-1,-14,,14,NNE,49.0,,,week,29-12-2017
bbc.com,grand junction regional airport,light cloud,1,-8,-3.875,5,W,71.0,,,day,23-12-2017
bbc.com,denver,sunny,5,-11,-4.0,13,NNW,69.75,,,day,23-12-2017
bbc.com,kansas city,sunny intervals,1,-3,-1.0,8,N,70.5,,,day,23-12-2017
bbc.com,knoxville,sunny,4,-3,,8,N,71.0,,,week,29-12-2017
bbc.com,st louis,light cloud,-3,-10,,14,NNE,53.0,,,week,29-12-2017
bbc.com,nashville,sunny intervals,3,-5,,13,NNE,63.0,,,week,29-12-2017
bbc.com,louisville,light cloud,1,-6,,14,NE,57.0,,,week,29-12-2017
bbc.com,st louis,light snow shower,3,-1,0.75,14,NNW,73.625,,,day,23-12-2017
bbc.com,nashville,heavy rain shower,13,4,7.0,19,NW,88.125,,,day,23-12-2017
bbc.com,louisville,heavy rain,8,1,4.625,19,N,86.375,,,day,23-12-2017
bbc.com,knoxville,heavy rain shower,18,6,12.125,27,SW,84.75,,,day,23-12-2017
bbc.com,cleveland,heavy snow,3,-3,0.75,18,N,87.875,,,day,23-12-2017
bbc.com,raleigh east airport,sunny intervals,2,-3,,11,N,74.0,,,week,29-12-2017
bbc.com,cleveland,light snow,-5,-9,,18,NW,69.0,,,week,29-12-2017
bbc.com,washington dulles international airport,light snow shower,-1,-9,,13,N,60.0,,,week,29-12-2017
bbc.com,raleigh east airport,light cloud,18,9,14.625,21,SSW,86.25,,,day,23-12-2017
bbc.com,rochester,light snow,-8,-12,,16,NW,68.0,,,week,29-12-2017
bbc.com,rochester,sleet,1,-3,-0.125,11,NW,92.375,,,day,23-12-2017
bbc.com,washington dulles international airport,light rain,17,1,9.625,23,SSW,89.0,,,day,23-12-2017
bbc.com,minneapolis,sunny,-13,-22,,10,NW,61.0,,,week,29-12-2017
bbc.com,chicago,light snow,-6,-13,,16,NW,55.0,,,week,29-12-2017
bbc.com,sioux falls,light cloud,-6,-13,-9.25,13,NW,73.875,,,day,23-12-2017
bbc.com,sioux falls,light cloud,-12,-20,,18,NW,57.0,,,week,29-12-2017
bbc.com,bangor,light cloud,-15,-21,,11,NNW,52.0,,,week,29-12-2017
bbc.com,bangor,heavy rain,7,1,3.875,19,ESE,93.875,,,day,23-12-2017
bbc.com,chicago,light cloud,0,-6,-3.25,16,NNW,58.375,,,day,23-12-2017
bbc.com,minneapolis,sunny intervals,-6,-11,-9.625,13,WNW,69.125,,,day,23-12-2017
bbc.com,rock springs,light snow,1,-10,-3.875,32,W,75.375,,,day,23-12-2017
bbc.com,rock springs,sunny intervals,-4,-13,,13,WSW,73.0,,,week,29-12-2017
bbc.com,boise,light cloud,-1,-8,,6,NE,79.0,,,week,29-12-2017
bbc.com,rapid city,light cloud,-8,-17,,21,ENE,52.0,,,week,29-12-2017
bbc.com,rapid city,light snow,-8,-15,-11.625,16,NNE,71.5,,,day,23-12-2017
bbc.com,portland,light cloud,4,-1,,10,NE,81.0,,,week,29-12-2017
bbc.com,boise,light snow shower,2,-5,-2.0,14,NW,77.75,,,day,23-12-2017
bbc.com,portland,light cloud,5,0,2.25,13,ENE,67.25,,,day,23-12-2017
bbc.com,new york,light snow,-5,-10,,18,NNE,57.0,,,week,29-12-2017
bbc.com,bismarck,light cloud,-15,-21,,13,NNW,53.0,,,week,29-12-2017
bbc.com,new york,heavy rain,11,2,7.875,11,SSE,89.625,,,day,23-12-2017
bbc.com,bismarck,sunny,-6,-13,-9.625,19,W,74.25,,,day,23-12-2017
bbc.com,leeuwarden,thick cloud,8,7,7.75,24,W,95.625,,,day,23-12-2017
bbc.com,leeuwarden,light rain shower,7,3,,26,SW,82.0,,,week,29-12-2017
bbc.com,spokane international airport,light cloud,-6,-12,,11,E,79.0,,,week,29-12-2017
bbc.com,spokane international airport,sunny,-6,-12,-10.0,8,NNW,88.375,,,day,23-12-2017
