website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,los angeles,sunny,18,9,,8,WSW,58.0,,,week,02-01-2018
bbc.com,los angeles,sunny,22,9,14.125,3,W,60.875,,,day,27-12-2017
bbc.com,yuma,light cloud,24,7,14.375,10,N,29.25,,,day,27-12-2017
bbc.com,yuma,sunny,21,9,,13,NNW,35.0,,,week,02-01-2018
bbc.com,tucson international airport,sunny,21,6,,11,S,38.0,,,week,02-01-2018
bbc.com,tucson international airport,light cloud,23,7,14.25,6,E,40.375,,,day,27-12-2017
bbc.com,san antonio,thick cloud,11,4,,11,ENE,67.0,,,week,02-01-2018
bbc.com,san antonio,thick cloud,8,2,5.5,23,NNE,79.25,,,day,27-12-2017
bbc.com,beaumont,thick cloud,8,5,6.125,19,NE,80.625,,,day,27-12-2017
bbc.com,beaumont,thick cloud,9,5,,13,NE,64.0,,,week,02-01-2018
bbc.com,houma,light rain,12,8,9.25,24,NE,87.375,,,day,27-12-2017
bbc.com,houma,sunny,12,7,,18,ENE,66.0,,,week,02-01-2018
bbc.com,pensacola,heavy rain shower,10,8,9.0,21,NNE,86.5,,,day,27-12-2017
bbc.com,pensacola,sunny,10,4,,16,ENE,58.0,,,week,02-01-2018
bbc.com,valdosta regional airport,sunny intervals,8,1,,13,NE,62.0,,,week,02-01-2018
bbc.com,valdosta regional airport,light rain shower,11,6,8.625,13,NNE,85.625,,,day,27-12-2017
bbc.com,miami,sunny intervals,22,17,,16,ENE,68.0,,,week,02-01-2018
bbc.com,miami,sunny intervals,25,22,23.625,14,ENE,80.375,,,day,27-12-2017
bbc.com,columbia metropolitan airport,light cloud,7,-1,3.625,10,NNE,66.25,,,day,27-12-2017
bbc.com,columbia metropolitan airport,sunny,2,-4,,13,NE,39.0,,,week,02-01-2018
bbc.com,atlanta,sunny,4,-3,,14,NE,52.0,,,week,02-01-2018
bbc.com,atlanta,light cloud,7,1,3.75,13,NNW,72.0,,,day,27-12-2017
bbc.com,tuscaloosa municipal airport,sunny,6,0,,10,ENE,49.0,,,week,02-01-2018
bbc.com,tuscaloosa municipal airport,light cloud,6,1,3.5,14,NNE,69.875,,,day,27-12-2017
bbc.com,little rock,sunny intervals,2,-2,,8,E,43.0,,,week,02-01-2018
bbc.com,oklahoma city,light cloud,3,-2,,16,ESE,57.0,,,week,02-01-2018
bbc.com,amarillo,light cloud,4,-5,-2.625,26,SSW,75.75,,,day,27-12-2017
bbc.com,oklahoma city,thick cloud,0,-2,-1.875,8,ENE,67.375,,,day,27-12-2017
bbc.com,little rock,sunny intervals,2,-4,-1.75,16,NE,55.375,,,day,27-12-2017
bbc.com,amarillo,sunny,9,-4,,27,SSW,54.0,,,week,02-01-2018
bbc.com,albuquerque,sunny,12,-1,,10,SW,40.0,,,week,02-01-2018
bbc.com,albuquerque,light cloud,13,-1,4.75,6,NNW,57.875,,,day,27-12-2017
bbc.com,las vegas,sunny,15,5,,6,NNW,36.0,,,week,02-01-2018
bbc.com,flagstaff,sunny,8,-3,,16,S,42.0,,,week,02-01-2018
bbc.com,flagstaff,sunny,13,-1,5.5,3,WSW,40.5,,,day,27-12-2017
bbc.com,las vegas,sunny,15,-2,6.625,3,ENE,54.0,,,day,27-12-2017
bbc.com,fresno,sunny,14,4,,6,NNE,71.0,,,week,02-01-2018
bbc.com,fresno,sunny,15,4,8.5,3,WNW,81.125,,,day,27-12-2017
bbc.com,sacramento,sunny,15,4,,8,ENE,70.0,,,week,02-01-2018
bbc.com,sacramento,sunny intervals,14,4,8.0,3,NW,86.125,,,day,27-12-2017
bbc.com,grand junction regional airport,sunny,6,-4,,6,NW,41.0,,,week,02-01-2018
bbc.com,grand junction regional airport,sunny intervals,5,-4,-0.375,3,E,65.625,,,day,27-12-2017
bbc.com,salt lake city,light cloud,5,-5,,10,SW,78.0,,,week,02-01-2018
bbc.com,salt lake city,light cloud,5,-2,0.0,6,WSW,82.875,,,day,27-12-2017
bbc.com,denver,sunny intervals,6,-8,,14,WSW,37.0,,,week,02-01-2018
bbc.com,denver,sunny,7,-6,-1.125,14,SSW,56.25,,,day,27-12-2017
bbc.com,kansas city,light cloud,-1,-6,,13,SSE,43.0,,,week,02-01-2018
bbc.com,kansas city,light cloud,-6,-7,-7.875,10,E,49.0,,,day,27-12-2017
bbc.com,st louis,sunny,-3,-8,,10,E,39.0,,,week,02-01-2018
bbc.com,nashville,sunny,2,-4,,8,E,34.0,,,week,02-01-2018
bbc.com,nashville,sunny,0,-6,-3.5,14,NNE,47.625,,,day,27-12-2017
bbc.com,st louis,sunny intervals,-9,-12,-10.875,8,NNE,63.375,,,day,27-12-2017
bbc.com,louisville,sunny,-3,-8,-6.625,13,N,37.0,,,day,27-12-2017
bbc.com,knoxville,sunny intervals,2,-5,-1.875,10,NNE,58.625,,,day,27-12-2017
bbc.com,louisville,sunny,0,-6,,11,ENE,34.0,,,week,02-01-2018
bbc.com,knoxville,sunny,2,-6,,6,N,35.0,,,week,02-01-2018
bbc.com,raleigh east airport,sunny,0,-7,,11,N,29.0,,,week,02-01-2018
bbc.com,raleigh east airport,light cloud,6,-6,0.875,11,N,60.25,,,day,27-12-2017
bbc.com,rochester,thick cloud,-9,-13,,14,W,64.0,,,week,02-01-2018
bbc.com,rochester,light snow,-10,-13,-11.875,18,W,82.125,,,day,27-12-2017
bbc.com,cleveland,light snow,-9,-12,-11.5,21,WNW,75.25,,,day,27-12-2017
bbc.com,cleveland,light cloud,-10,-15,,13,SW,64.0,,,week,02-01-2018
bbc.com,washington dulles international airport,sunny,-2,-11,,13,NW,33.0,,,week,02-01-2018
bbc.com,washington dulles international airport,light cloud,0,-9,-4.75,18,NNW,41.125,,,day,27-12-2017
bbc.com,sioux falls,sunny,-9,-17,,16,SE,59.0,,,week,02-01-2018
bbc.com,bangor,sunny,-15,-24,,11,NW,51.0,,,week,02-01-2018
bbc.com,chicago,light cloud,-9,-15,,11,SW,54.0,,,week,02-01-2018
bbc.com,minneapolis,sunny,-14,-16,-16.5,5,SW,67.375,,,day,27-12-2017
bbc.com,chicago,sunny,-12,-14,-14.375,11,WNW,55.375,,,day,27-12-2017
bbc.com,sioux falls,light cloud,-11,-16,-15.0,21,SSE,69.25,,,day,27-12-2017
bbc.com,bangor,sunny,-11,-19,-14.5,29,W,72.125,,,day,27-12-2017
bbc.com,minneapolis,light cloud,-11,-17,,10,NW,57.0,,,week,02-01-2018
bbc.com,rapid city,sunny,-1,-13,,18,NE,54.0,,,week,02-01-2018
bbc.com,boise,sunny intervals,1,-6,,5,NNE,81.0,,,week,02-01-2018
bbc.com,rapid city,light cloud,-9,-17,-13.0,11,SE,77.875,,,day,27-12-2017
bbc.com,rock springs,light cloud,4,-4,-1.125,18,WSW,60.25,,,day,27-12-2017
bbc.com,rock springs,sunny intervals,-1,-11,,11,W,73.0,,,week,02-01-2018
bbc.com,portland,light cloud,9,4,,8,NE,87.0,,,week,02-01-2018
bbc.com,boise,light cloud,-2,-5,-3.75,3,N,90.75,,,day,27-12-2017
bbc.com,portland,light cloud,6,4,3.875,3,WSW,92.75,,,day,27-12-2017
bbc.com,new york,light cloud,-4,-9,-6.5,14,NW,43.75,,,day,27-12-2017
bbc.com,leeuwarden,heavy rain,5,2,4.125,19,S,89.625,,,day,27-12-2017
bbc.com,leeuwarden,sunny intervals,6,2,,19,WNW,77.0,,,week,02-01-2018
bbc.com,spokane international airport,light snow,-1,-6,,8,NE,100.0,,,week,02-01-2018
bbc.com,new york,sunny,-6,-14,,14,NW,43.0,,,week,02-01-2018
bbc.com,bismarck,light cloud,-10,-18,,13,SW,57.0,,,week,02-01-2018
bbc.com,bismarck,light cloud,-13,-18,-16.75,14,SE,72.75,,,day,27-12-2017
bbc.com,spokane international airport,light snow,-3,-5,-4.75,6,S,88.125,,,day,27-12-2017
bbc.com,de bilt,sunny intervals,7,2,,14,W,82.0,,,week,02-01-2018
bbc.com,vlissingen,sunny intervals,7,3,,21,WNW,79.0,,,week,02-01-2018
bbc.com,maastricht aachen airport,sunny intervals,6,1,,16,W,85.0,,,week,02-01-2018
bbc.com,amsterdam airport schiphol,light cloud,7,2,4.625,21,S,88.125,,,day,27-12-2017
bbc.com,amsterdam airport schiphol,sunny intervals,7,2,,21,WNW,78.0,,,week,02-01-2018
bbc.com,de bilt,light rain,6,2,4.75,14,S,88.875,,,day,27-12-2017
bbc.com,vlissingen,light cloud,6,3,5.0,21,SSW,86.0,,,day,27-12-2017
bbc.com,maastricht aachen airport,light cloud,6,1,3.75,19,SSW,86.875,,,day,27-12-2017
bbc.com,eindhoven,sunny intervals,7,1,,16,W,84.0,,,week,02-01-2018
bbc.com,eindhoven,light rain,7,0,4.375,18,S,89.0,,,day,27-12-2017
bbc.com,rotterdam,light cloud,6,3,5.0,16,SSW,85.125,,,day,27-12-2017
bbc.com,rotterdam,sunny intervals,7,3,,18,WNW,79.0,,,week,02-01-2018
timeanddate.com,los angeles,Haze.,23,11,,9,NE,32,8,,day,27-12-2017
