website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,los angeles,sunny,19,8,,10,ENE,30.0,,,week,24-12-2017
bbc.com,yuma,sunny,18,6,,14,NE,17.0,,,week,24-12-2017
bbc.com,yuma,sunny,21,4,12.375,14,NNW,37.25,,,day,18-12-2017
bbc.com,los angeles,sunny,20,8,13.0,5,NNW,45.0,,,day,18-12-2017
bbc.com,tucson international airport,sunny,18,4,,11,ESE,23.0,,,week,24-12-2017
bbc.com,tucson international airport,sunny,17,8,12.625,6,ENE,75.0,,,day,18-12-2017
bbc.com,san antonio,sunny,14,2,,16,ENE,60.0,,,week,24-12-2017
bbc.com,san antonio,light rain,17,13,14.625,11,ENE,96.0,,,day,18-12-2017
bbc.com,beaumont,heavy rain shower,18,17,17.25,10,ENE,97.0,,,day,18-12-2017
bbc.com,beaumont,sunny,14,7,,14,ENE,68.0,,,week,24-12-2017
bbc.com,houma,heavy rain,22,19,19.75,8,E,96.25,,,day,18-12-2017
bbc.com,houma,light cloud,17,10,,16,ENE,72.0,,,week,24-12-2017
bbc.com,pensacola,heavy rain shower,22,19,20.125,6,NW,96.125,,,day,18-12-2017
bbc.com,pensacola,light cloud,17,10,,14,E,72.0,,,week,24-12-2017
bbc.com,valdosta regional airport,heavy rain shower,22,19,19.5,11,SW,95.75,,,day,18-12-2017
bbc.com,valdosta regional airport,light cloud,19,11,,11,E,70.0,,,week,24-12-2017
bbc.com,miami,sunny intervals,25,21,,19,E,69.0,,,week,24-12-2017
bbc.com,columbia metropolitan airport,thick cloud,16,10,12.75,6,SW,90.5,,,day,18-12-2017
bbc.com,miami,light cloud,26,23,24.125,14,ESE,80.5,,,day,18-12-2017
bbc.com,columbia metropolitan airport,light cloud,14,7,,11,E,74.0,,,week,24-12-2017
bbc.com,tuscaloosa municipal airport,light cloud,12,4,,11,E,65.0,,,week,24-12-2017
bbc.com,tuscaloosa municipal airport,light cloud,15,11,12.625,5,W,95.0,,,day,18-12-2017
bbc.com,atlanta,light cloud,13,5,,16,SSE,75.0,,,week,24-12-2017
bbc.com,atlanta,light cloud,17,9,12.375,8,WSW,95.25,,,day,18-12-2017
bbc.com,amarillo,sunny,17,1,7.875,19,SW,63.125,,,day,18-12-2017
bbc.com,amarillo,sunny,2,-9,,24,N,46.0,,,week,24-12-2017
bbc.com,little rock,light cloud,6,-1,,13,NE,59.0,,,week,24-12-2017
bbc.com,oklahoma city,sunny intervals,2,-5,,19,NE,51.0,,,week,24-12-2017
bbc.com,little rock,light cloud,14,10,10.75,6,WSW,89.5,,,day,18-12-2017
bbc.com,oklahoma city,sunny,14,9,9.875,11,S,84.875,,,day,18-12-2017
bbc.com,albuquerque,sunny,8,-4,,13,NNW,31.0,,,week,24-12-2017
bbc.com,albuquerque,sunny intervals,11,-1,3.875,8,N,72.125,,,day,18-12-2017
bbc.com,fresno,sunny,16,2,8.0,2,S,68.375,,,day,18-12-2017
bbc.com,fresno,sunny,15,1,,5,ENE,43.0,,,week,24-12-2017
bbc.com,sacramento,sunny,15,3,8.125,3,NNE,74.625,,,day,18-12-2017
bbc.com,sacramento,sunny,13,1,,8,NE,49.0,,,week,24-12-2017
bbc.com,flagstaff,sunny,8,-3,1.5,6,NNE,46.875,,,day,18-12-2017
bbc.com,flagstaff,sunny,4,-5,,19,ESE,31.0,,,week,24-12-2017
bbc.com,las vegas,sunny,11,2,,8,NE,18.0,,,week,24-12-2017
bbc.com,las vegas,sunny,11,-1,5.25,3,E,49.5,,,day,18-12-2017
bbc.com,salt lake city,sunny,-2,-11,,10,E,69.0,,,week,24-12-2017
bbc.com,denver,sunny,13,-2,3.375,18,SW,53.75,,,day,18-12-2017
bbc.com,denver,light snow,-8,-20,,16,NW,60.0,,,week,24-12-2017
bbc.com,salt lake city,sunny intervals,7,-1,1.25,10,ESE,72.375,,,day,18-12-2017
bbc.com,kansas city,light snow,-2,-9,,14,ENE,42.0,,,week,24-12-2017
bbc.com,grand junction regional airport,sunny,6,-6,-0.625,3,WNW,57.125,,,day,18-12-2017
bbc.com,grand junction regional airport,sunny,0,-11,,6,NNE,34.0,,,week,24-12-2017
bbc.com,kansas city,sunny,11,6,7.875,18,SW,79.75,,,day,18-12-2017
bbc.com,nashville,light cloud,6,-2,,11,NNW,65.0,,,week,24-12-2017
bbc.com,nashville,light cloud,11,7,8.5,10,SW,92.625,,,day,18-12-2017
bbc.com,louisville,light cloud,4,-3,,13,NNE,62.0,,,week,24-12-2017
bbc.com,louisville,light rain,12,6,8.75,14,SW,93.25,,,day,18-12-2017
bbc.com,knoxville,thick cloud,11,7,8.0,6,WSW,94.875,,,day,18-12-2017
bbc.com,knoxville,light cloud,8,1,,8,NNW,70.0,,,week,24-12-2017
bbc.com,st louis,light cloud,-1,-7,,13,NNE,50.0,,,week,24-12-2017
bbc.com,st louis,sunny intervals,11,6,8.5,16,WSW,81.5,,,day,18-12-2017
bbc.com,raleigh east airport,light cloud,13,7,10.0,10,WSW,87.625,,,day,18-12-2017
bbc.com,raleigh east airport,light cloud,11,5,,11,ESE,75.0,,,week,24-12-2017
bbc.com,cleveland,thick cloud,7,4,5.25,19,SW,91.0,,,day,18-12-2017
bbc.com,rochester,light cloud,-1,-5,,14,WNW,61.0,,,week,24-12-2017
bbc.com,rochester,light cloud,3,2,2.5,14,SW,91.875,,,day,18-12-2017
bbc.com,cleveland,light cloud,-1,-5,,16,S,62.0,,,week,24-12-2017
bbc.com,washington dulles international airport,light cloud,7,-1,,13,W,60.0,,,week,24-12-2017
bbc.com,washington dulles international airport,sunny intervals,12,3,6.75,8,SSW,86.75,,,day,18-12-2017
bbc.com,sioux falls,sunny intervals,-10,-18,,19,NW,48.0,,,week,24-12-2017
bbc.com,sioux falls,light cloud,8,-2,2.875,23,WSW,76.25,,,day,18-12-2017
bbc.com,minneapolis,light cloud,-15,-24,,10,WNW,60.0,,,week,24-12-2017
bbc.com,bangor,light cloud,-3,-5,-5.375,6,NE,85.0,,,day,18-12-2017
bbc.com,chicago,light cloud,-5,-11,,14,NW,45.0,,,week,24-12-2017
bbc.com,bangor,light cloud,0,-7,,11,NW,53.0,,,week,24-12-2017
bbc.com,minneapolis,light cloud,4,-1,1.125,16,SW,82.0,,,day,18-12-2017
bbc.com,chicago,light cloud,7,4,5.25,21,WSW,84.375,,,day,18-12-2017
bbc.com,rapid city,light cloud,12,-5,3.5,23,WSW,63.25,,,day,18-12-2017
bbc.com,rapid city,light cloud,-9,-18,,27,NNE,45.0,,,week,24-12-2017
bbc.com,boise,sunny,-2,-9,,6,NW,41.0,,,week,24-12-2017
bbc.com,portland,sunny,4,-3,,14,NE,46.0,,,week,24-12-2017
bbc.com,rock springs,sunny intervals,-11,-21,,14,N,62.0,,,week,24-12-2017
bbc.com,rock springs,sunny intervals,4,-5,-1.5,18,W,72.625,,,day,18-12-2017
bbc.com,boise,sunny intervals,5,-2,0.5,5,SE,81.125,,,day,18-12-2017
bbc.com,portland,light cloud,10,8,8.75,16,SSW,87.75,,,day,18-12-2017
bbc.com,new york,light cloud,5,0,,13,W,64.0,,,week,24-12-2017
bbc.com,bismarck,sunny intervals,-12,-19,,18,NW,46.0,,,week,24-12-2017
bbc.com,spokane international airport,sunny,-6,-14,,11,NE,58.0,,,week,24-12-2017
bbc.com,bismarck,light cloud,7,-4,2.0,16,W,72.5,,,day,18-12-2017
bbc.com,leeuwarden,light cloud,8,3,5.875,19,NNW,88.5,,,day,18-12-2017
bbc.com,leeuwarden,thick cloud,7,3,,24,SW,89.0,,,week,24-12-2017
bbc.com,new york,light cloud,5,3,3.375,6,W,87.875,,,day,18-12-2017
bbc.com,spokane international airport,light cloud,5,2,3.0,23,SW,93.625,,,day,18-12-2017
bbc.com,de bilt,thick cloud,8,4,,16,SW,88.0,,,week,24-12-2017
bbc.com,amsterdam airport schiphol,thick cloud,8,4,,26,SW,88.0,,,week,24-12-2017
bbc.com,amsterdam airport schiphol,sunny intervals,9,3,5.625,21,NNW,89.125,,,day,18-12-2017
bbc.com,maastricht aachen airport,thick cloud,6,3,4.375,14,N,95.375,,,day,18-12-2017
bbc.com,maastricht aachen airport,thick cloud,7,3,,19,SW,89.0,,,week,24-12-2017
bbc.com,de bilt,light cloud,8,2,5.375,13,NNW,89.875,,,day,18-12-2017
bbc.com,vlissingen,sunny,8,3,6.125,21,N,89.625,,,day,18-12-2017
bbc.com,vlissingen,thick cloud,9,5,,24,SW,87.0,,,week,24-12-2017
bbc.com,rotterdam,sunny intervals,8,4,6.375,18,NNW,85.25,,,day,18-12-2017
bbc.com,eindhoven,thick cloud,8,3,,19,SW,89.0,,,week,24-12-2017
bbc.com,eindhoven,light cloud,8,1,4.875,16,NNW,91.375,,,day,18-12-2017
bbc.com,rotterdam,thick cloud,8,4,,23,SW,88.0,,,week,24-12-2017
timeanddate.com,los angeles,Sunny.,22,9,,10,ESE,21,6,,day,18-12-2017
timeanddate.com,yuma marine corps air station,Mostly sunny.,20,9,,15,NNW,19,1,,day,18-12-2017
timeanddate.com,yuma marine corps air station,Broken clouds.,19,10,,27,N,10,1,,week,24-12-2017
timeanddate.com,davis-monthan air force base,Mostly sunny.,16,8,,10,SSE,44,1,,day,18-12-2017
timeanddate.com,los angeles,Overcast.,18,13,,9,N,4,3,,week,24-12-2017
timeanddate.com,el paso international airport,Rain. Morning clouds.,12,5,,11,WSW,60,21,3.6,day,18-12-2017
timeanddate.com,el paso international airport,Sunny.,12,4,,20,ENE,31,4,,week,24-12-2017
timeanddate.com,davis-monthan air force base,Afternoon clouds.,18,6,,20,E,8,1,,week,24-12-2017
timeanddate.com,pensacola regional airport,Tstorms early. Low clouds.,23,19,,12,SSW,85,60,3.5,day,18-12-2017
timeanddate.com,valdosta regional,Cloudy.,24,16,,9,SSW,77,27,0.0,day,18-12-2017
timeanddate.com,valdosta regional,Drizzle. Cloudy.,23,14,,10,N,92,41,1.2,week,24-12-2017
timeanddate.com,midland - midland airpark,Morning clouds.,16,4,,12,S,49,8,,day,18-12-2017
timeanddate.com,pensacola regional airport,Drizzle. Overcast.,18,11,,17,N,87,49,3.5,week,24-12-2017
timeanddate.com,miami international airport,More clouds than sun.,26,23,,16,E,72,5,,day,18-12-2017
timeanddate.com,midland - midland airpark,Sprinkles early. Partly cloudy.,10,0,,29,NNE,53,28,0.1,week,24-12-2017
timeanddate.com,san antonio international airport,Widely scattered tstorms. Dense fog.,18,12,,9,NE,83,55,3.4,day,18-12-2017
timeanddate.com,columbia owens downtown airport,Cloudy.,19,7,,9,SW,64,23,0.0,day,18-12-2017
timeanddate.com,miami international airport,Sprinkles late. Increasing cloudiness.,27,24,,20,E,69,28,0.3,week,24-12-2017
timeanddate.com,san antonio international airport,Overcast.,13,7,,25,N,40,6,,week,24-12-2017
timeanddate.com,columbia owens downtown airport,Light rain. Overcast.,19,11,,8,NE,92,54,7.9,week,24-12-2017
timeanddate.com,jefferson county airport,Strong thunderstorms. Low clouds.,21,15,,8,NE,89,87,50.3,day,18-12-2017
timeanddate.com,fulton county airport-brown field,Overcast.,16,8,,8,W,71,59,0.0,day,18-12-2017
timeanddate.com,lakefront airport,A few tstorms. Overcast.,22,18,,10,S,87,68,3.0,day,18-12-2017
timeanddate.com,tuscaloosa municipal airport,Light rain. Low clouds.,15,7,,6,SSE,84,69,2.9,day,18-12-2017
timeanddate.com,jefferson county airport,Light rain. Overcast.,14,10,,15,NNE,73,51,7.0,week,24-12-2017
timeanddate.com,fulton county airport-brown field,Rain. Overcast.,15,9,,8,NW,84,53,12.1,week,24-12-2017
timeanddate.com,lakefront airport,Light rain. Overcast.,16,10,,24,N,86,53,7.8,week,24-12-2017
timeanddate.com,tuscaloosa municipal airport,Light rain. Overcast.,15,8,,12,N,88,46,9.1,week,24-12-2017
timeanddate.com,vicksburg municipal,A few tstorms. Low clouds.,18,11,,8,NE,79,78,6.6,day,18-12-2017
timeanddate.com,adams field,High level clouds.,16,6,,10,SSW,69,21,0.0,day,18-12-2017
timeanddate.com,vicksburg municipal,Sprinkles early. Overcast.,14,8,,16,N,60,26,0.1,week,24-12-2017
timeanddate.com,amarillo international airport,Mostly sunny.,16,-1,,20,SSW,40,3,,day,18-12-2017
timeanddate.com,adams field,Drizzle. Overcast.,10,2,,14,N,41,38,0.9,week,24-12-2017
timeanddate.com,amarillo international airport,Light snow early. Overcast.,5,-7,,16,NNW,50,46,18.0,week,24-12-2017
timeanddate.com,albuquerque international airport,More clouds than sun.,9,0,,13,SSW,45,4,,day,18-12-2017
timeanddate.com,flagstaff pulliam airport,Mostly sunny.,8,-6,,11,NE,28,0,,day,18-12-2017
timeanddate.com,albuquerque international airport,Clearing skies.,6,-1,,5,WSW,25,3,,week,24-12-2017
timeanddate.com,flagstaff pulliam airport,Broken clouds.,2,-2,,25,NNE,14,2,,week,24-12-2017
