website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,los angeles,light cloud,19,12,,8,SSE,68.0,,,week,08-01-2018
bbc.com,los angeles,light cloud,21,11,15.125,5,WNW,60.625,,,day,02-01-2018
bbc.com,yuma,light cloud,25,12,16.75,13,N,24.5,,,day,02-01-2018
bbc.com,yuma,sunny,22,11,,8,ENE,39.0,,,week,08-01-2018
bbc.com,tucson international airport,sunny intervals,22,8,,10,SE,39.0,,,week,08-01-2018
bbc.com,tucson international airport,light cloud,24,7,14.5,6,ESE,39.625,,,day,02-01-2018
bbc.com,san antonio,sunny,19,7,,16,E,58.0,,,week,08-01-2018
bbc.com,san antonio,light cloud,3,-6,-1.625,13,ENE,56.125,,,day,02-01-2018
bbc.com,beaumont,light cloud,1,-3,-0.625,11,NE,53.125,,,day,02-01-2018
bbc.com,beaumont,light rain shower,18,9,,18,WSW,76.0,,,week,08-01-2018
bbc.com,houma,light cloud,4,0,1.25,18,NE,58.75,,,day,02-01-2018
bbc.com,houma,light cloud,20,10,,19,SSW,76.0,,,week,08-01-2018
bbc.com,pensacola,light cloud,5,-1,1.0,18,NE,56.375,,,day,02-01-2018
bbc.com,pensacola,light cloud,18,10,,21,S,80.0,,,week,08-01-2018
bbc.com,valdosta regional airport,light cloud,18,8,,13,SE,69.0,,,week,08-01-2018
bbc.com,valdosta regional airport,sunny intervals,4,-2,-0.5,19,NE,48.5,,,day,02-01-2018
bbc.com,miami,sunny intervals,23,18,,21,E,64.0,,,week,08-01-2018
bbc.com,columbia metropolitan airport,sunny,1,-4,-3.0,11,NNE,46.0,,,day,02-01-2018
bbc.com,columbia metropolitan airport,light cloud,12,4,,13,ESE,67.0,,,week,08-01-2018
bbc.com,miami,heavy rain shower,21,19,19.75,39,NNE,82.75,,,day,02-01-2018
bbc.com,atlanta,sunny,2,-3,-1.875,6,NNE,53.375,,,day,02-01-2018
bbc.com,atlanta,light cloud,11,4,,18,S,79.0,,,week,08-01-2018
bbc.com,tuscaloosa municipal airport,light cloud,1,-3,-2.25,8,NNE,38.125,,,day,02-01-2018
bbc.com,tuscaloosa municipal airport,light cloud,13,5,,14,S,82.0,,,week,08-01-2018
bbc.com,oklahoma city,sunny,10,0,,18,S,62.0,,,week,08-01-2018
bbc.com,little rock,sunny,11,1,,14,E,78.0,,,week,08-01-2018
bbc.com,little rock,light cloud,-3,-6,-5.25,8,NE,31.5,,,day,02-01-2018
bbc.com,oklahoma city,light cloud,-4,-6,-6.25,2,NNW,41.875,,,day,02-01-2018
bbc.com,albuquerque,sunny,14,-3,4.0,10,NNE,48.875,,,day,02-01-2018
bbc.com,albuquerque,sunny,12,0,,8,NNW,41.0,,,week,08-01-2018
bbc.com,amarillo,sunny,-4,-9,-9.125,11,WSW,57.0,,,day,02-01-2018
bbc.com,amarillo,sunny,12,-2,,23,N,44.0,,,week,08-01-2018
bbc.com,flagstaff,light cloud,10,-4,3.25,11,NE,37.125,,,day,02-01-2018
bbc.com,flagstaff,sunny,10,1,,13,S,44.0,,,week,08-01-2018
bbc.com,las vegas,sunny intervals,16,8,,5,NNW,45.0,,,week,08-01-2018
bbc.com,las vegas,light cloud,18,1,9.375,5,N,48.625,,,day,02-01-2018
bbc.com,fresno,light cloud,17,9,,6,ESE,73.0,,,week,08-01-2018
bbc.com,fresno,light cloud,17,6,10.875,3,WSW,75.75,,,day,02-01-2018
bbc.com,sacramento,light cloud,15,7,10.5,5,N,82.875,,,day,02-01-2018
bbc.com,sacramento,light cloud,15,9,,10,ENE,81.0,,,week,08-01-2018
bbc.com,grand junction regional airport,sunny,7,-6,-0.625,3,E,52.5,,,day,02-01-2018
bbc.com,salt lake city,light cloud,6,-3,,11,SSE,78.0,,,week,08-01-2018
bbc.com,salt lake city,sunny,4,-3,-1.0,6,SE,87.125,,,day,02-01-2018
bbc.com,grand junction regional airport,sunny,7,-2,,6,NE,50.0,,,week,08-01-2018
bbc.com,denver,sunny,8,-6,,14,S,42.0,,,week,08-01-2018
bbc.com,kansas city,sunny,5,-5,,14,WNW,62.0,,,week,08-01-2018
bbc.com,denver,sunny,4,-7,-4.0,14,SSW,50.25,,,day,02-01-2018
bbc.com,kansas city,sunny,-6,-8,-9.25,10,SW,40.625,,,day,02-01-2018
bbc.com,st louis,light cloud,4,-5,,16,W,73.0,,,week,08-01-2018
bbc.com,louisville,light rain,6,-1,,19,SW,80.0,,,week,08-01-2018
bbc.com,louisville,sunny,-4,-9,-9.375,6,WSW,42.875,,,day,02-01-2018
bbc.com,st louis,sunny,-7,-10,-11.0,8,WSW,59.25,,,day,02-01-2018
bbc.com,knoxville,sunny,-2,-7,-6.375,6,NE,41.125,,,day,02-01-2018
bbc.com,knoxville,light cloud,7,0,,11,WSW,76.0,,,week,08-01-2018
bbc.com,nashville,light rain,7,0,,16,SW,83.0,,,week,08-01-2018
bbc.com,nashville,sunny,-4,-7,-7.125,5,NNE,38.375,,,day,02-01-2018
bbc.com,raleigh east airport,sunny,-2,-8,-5.875,8,N,45.75,,,day,02-01-2018
bbc.com,raleigh east airport,light cloud,9,2,,11,ENE,58.0,,,week,08-01-2018
bbc.com,washington dulles international airport,light cloud,5,-2,,16,S,47.0,,,week,08-01-2018
bbc.com,washington dulles international airport,sunny,-3,-11,-7.75,16,WNW,48.875,,,day,02-01-2018
bbc.com,cleveland,sunny,-10,-15,-14.25,24,SW,78.125,,,day,02-01-2018
bbc.com,cleveland,sleet,2,-5,,23,SSW,77.0,,,week,08-01-2018
bbc.com,rochester,light cloud,-6,-11,-8.625,29,WSW,80.25,,,day,02-01-2018
bbc.com,rochester,light cloud,1,-4,,18,SSW,66.0,,,week,08-01-2018
bbc.com,bangor,light cloud,-5,-10,,10,WSW,63.0,,,week,08-01-2018
bbc.com,bangor,sunny,-12,-15,-13.5,18,WNW,79.375,,,day,02-01-2018
bbc.com,minneapolis,sunny,-4,-14,,13,ESE,69.0,,,week,08-01-2018
bbc.com,chicago,light cloud,0,-9,,18,W,77.0,,,week,08-01-2018
bbc.com,sioux falls,sunny,-4,-15,,19,WSW,79.0,,,week,08-01-2018
bbc.com,sioux falls,sunny intervals,-11,-18,-15.625,21,SW,83.375,,,day,02-01-2018
bbc.com,chicago,sunny,-12,-15,-15.25,23,WSW,68.75,,,day,02-01-2018
bbc.com,minneapolis,light cloud,-10,-16,-13.875,19,SW,75.125,,,day,02-01-2018
bbc.com,rapid city,sunny,3,-11,,21,N,53.0,,,week,08-01-2018
bbc.com,rapid city,sunny intervals,1,-16,-7.625,21,NW,69.625,,,day,02-01-2018
bbc.com,portland,light cloud,10,5,,10,NE,84.0,,,week,08-01-2018
bbc.com,rock springs,sunny,1,-8,-4.75,6,W,66.75,,,day,02-01-2018
bbc.com,rock springs,sunny intervals,1,-9,,10,SW,73.0,,,week,08-01-2018
bbc.com,boise,sunny,1,-5,-3.0,6,SE,81.0,,,day,02-01-2018
bbc.com,boise,light cloud,5,-1,,8,E,81.0,,,week,08-01-2018
bbc.com,portland,light cloud,6,3,3.875,13,NE,62.25,,,day,02-01-2018
bbc.com,spokane international airport,light cloud,1,-5,,10,ENE,89.0,,,week,08-01-2018
bbc.com,spokane international airport,light cloud,-4,-6,-6.25,10,NNE,84.25,,,day,02-01-2018
bbc.com,new york,light cloud,1,-3,,13,SSW,60.0,,,week,08-01-2018
bbc.com,new york,sunny,-4,-9,-7.125,16,WNW,51.0,,,day,02-01-2018
bbc.com,leeuwarden,light cloud,7,4,5.875,18,WSW,90.375,,,day,02-01-2018
bbc.com,bismarck,light cloud,-3,-15,,18,SSW,62.0,,,week,08-01-2018
bbc.com,leeuwarden,sunny,3,-2,,18,E,71.0,,,week,08-01-2018
bbc.com,bismarck,light cloud,-7,-19,-12.875,24,WNW,80.375,,,day,02-01-2018
bbc.com,de bilt,light cloud,8,5,7.25,16,WSW,90.0,,,day,02-01-2018
bbc.com,de bilt,sunny,3,-1,,14,ESE,74.0,,,week,08-01-2018
bbc.com,maastricht aachen airport,sunny,3,-1,,13,ENE,77.0,,,week,08-01-2018
bbc.com,amsterdam airport schiphol,light cloud,8,4,7.0,24,WSW,89.375,,,day,02-01-2018
bbc.com,amsterdam airport schiphol,sunny,4,-1,,21,SSW,74.0,,,week,08-01-2018
bbc.com,maastricht aachen airport,light cloud,6,5,6.375,21,WSW,88.75,,,day,02-01-2018
bbc.com,vlissingen,light cloud,7,6,7.625,23,WSW,88.375,,,day,02-01-2018
bbc.com,vlissingen,sunny,4,0,,19,SSW,75.0,,,week,08-01-2018
bbc.com,rotterdam,light cloud,7,6,7.25,18,WSW,87.75,,,day,02-01-2018
bbc.com,eindhoven,sunny,3,-2,,16,ESE,75.0,,,week,08-01-2018
bbc.com,eindhoven,light cloud,7,5,7.25,19,WSW,90.875,,,day,02-01-2018
bbc.com,rotterdam,sunny,3,-1,,18,ESE,74.0,,,week,08-01-2018
timeanddate.com,los angeles,Haze.,23,12,,8,ENE,33,6,,day,02-01-2018
timeanddate.com,yuma marine corps air station,Partly sunny.,24,10,,13,NNE,13,1,,day,02-01-2018
timeanddate.com,los angeles,Sprinkles late. Increasing cloudiness.,23,14,,5,S,41,46,0.7,week,08-01-2018
timeanddate.com,yuma marine corps air station,A few showers. Mostly cloudy.,21,15,,13,WNW,61,49,1.9,week,08-01-2018
timeanddate.com,davis-monthan air force base,Partly sunny.,22,9,,9,E,17,0,,day,02-01-2018
timeanddate.com,el paso international airport,Sunny.,15,0,,12,ESE,37,0,,day,02-01-2018
timeanddate.com,davis-monthan air force base,Light rain. Mostly cloudy.,20,11,,24,SW,61,53,6.1,week,08-01-2018
timeanddate.com,pensacola regional airport,Mostly sunny.,6,-5,,14,NNE,33,10,,day,02-01-2018
timeanddate.com,valdosta regional,Mostly sunny.,5,-5,,18,NNE,25,12,,day,02-01-2018
timeanddate.com,el paso international airport,Increasing cloudiness.,20,11,,14,W,35,5,,week,08-01-2018
timeanddate.com,midland - midland airpark,Morning clouds.,-3,-9,,13,ESE,59,3,,day,02-01-2018
timeanddate.com,pensacola regional airport,Sprinkles late. Increasing cloudiness.,20,11,,13,SSE,70,28,0.2,week,08-01-2018
timeanddate.com,miami international airport,A few tstorms. Cloudy.,20,16,,28,NNW,75,58,4.0,day,02-01-2018
timeanddate.com,valdosta regional,Light rain late. Overcast.,20,6,,14,SSW,75,52,3.1,week,08-01-2018
timeanddate.com,san antonio international airport,Cloudy.,1,-3,,13,NE,49,10,,day,02-01-2018
timeanddate.com,midland - midland airpark,Showers late. Overcast.,24,12,,37,SW,29,42,0.8,week,08-01-2018
timeanddate.com,columbia owens downtown airport,Mostly sunny.,3,-7,,10,NNE,17,3,,day,02-01-2018
timeanddate.com,miami international airport,Sprinkles. Morning clouds.,24,19,,28,E,62,35,3.4,week,08-01-2018
timeanddate.com,san antonio international airport,Drizzle. Overcast.,21,14,,19,S,82,38,1.7,week,08-01-2018
timeanddate.com,jefferson county airport,More clouds than sun.,2,-6,,11,NE,35,25,3.0,day,02-01-2018
timeanddate.com,fulton county airport-brown field,Mostly sunny.,1,-10,,9,NNE,32,4,,day,02-01-2018
timeanddate.com,columbia owens downtown airport,Snow changing to rain. Overcast.,15,-1,,5,SSW,96,53,24.8,week,08-01-2018
timeanddate.com,jefferson county airport,A few showers. Overcast.,25,13,,16,WSW,67,55,3.1,week,08-01-2018
timeanddate.com,fulton county airport-brown field,Drizzle. Overcast.,13,4,,7,SSE,81,40,1.0,week,08-01-2018
timeanddate.com,lakefront airport,Partly sunny.,4,-5,,13,NE,45,9,,day,02-01-2018
timeanddate.com,tuscaloosa municipal airport,Mostly sunny.,0,-10,,12,NNE,28,2,,day,02-01-2018
timeanddate.com,lakefront airport,Increasing cloudiness.,20,11,,18,SSE,63,6,,week,08-01-2018
timeanddate.com,vicksburg municipal,Mostly sunny.,0,-10,,13,NE,29,7,,day,02-01-2018
timeanddate.com,tuscaloosa municipal airport,Light rain early. Cloudy.,16,6,,15,S,80,44,2.4,week,08-01-2018
timeanddate.com,adams field,Increasing cloudiness.,-5,-13,,11,NE,33,9,,day,02-01-2018
timeanddate.com,vicksburg municipal,Drizzle. Overcast.,19,11,,18,S,82,39,0.9,week,08-01-2018
timeanddate.com,adams field,Sprinkles. Overcast.,16,9,,21,S,92,56,5.7,week,08-01-2018
timeanddate.com,amarillo international airport,Mostly sunny.,-2,-16,,13,SW,34,3,,day,02-01-2018
timeanddate.com,amarillo international airport,Overcast.,12,0,,10,SE,44,6,,week,08-01-2018
timeanddate.com,albuquerque international airport,Afternoon clouds.,12,-3,,11,SSW,22,0,,day,02-01-2018
timeanddate.com,flagstaff pulliam airport,Mostly sunny.,12,-4,,17,NE,19,0,,day,02-01-2018
timeanddate.com,albuquerque international airport,Mostly cloudy.,13,2,,14,NW,46,6,,week,08-01-2018
timeanddate.com,flagstaff pulliam airport,Overcast.,11,-5,,8,W,37,6,,week,08-01-2018
timeanddate.com,las vegas  mccarran international airport,Partly sunny.,18,8,,9,NNW,21,1,,day,02-01-2018
timeanddate.com,fresno air terminal,High level clouds.,18,7,,6,SW,48,0,,day,02-01-2018
timeanddate.com,las vegas  mccarran international airport,Decreasing cloudiness.,18,8,,9,NW,30,4,,week,08-01-2018
timeanddate.com,fresno air terminal,Sunny.,14,6,,10,NW,42,3,,week,08-01-2018
timeanddate.com,sacramento executive airport,High level clouds.,17,6,,10,NNW,54,1,,day,02-01-2018
timeanddate.com,elko municipal-harris field,Mostly sunny.,7,-7,,10,ENE,55,1,,day,02-01-2018
timeanddate.com,sacramento executive airport,Light rain late. Afternoon clouds.,17,5,,5,NNW,46,49,1.6,week,08-01-2018
timeanddate.com,salt lake city international airport,Haze.,4,-4,,9,ESE,62,1,,day,02-01-2018
timeanddate.com,elko municipal-harris field,Sunny.,10,-5,,4,S,62,6,,week,08-01-2018
timeanddate.com,salt lake city international airport,Light snow early. Morning clouds.,4,0,,13,WNW,57,51,4.8,week,08-01-2018
timeanddate.com,walker field,Sunny.,5,-6,,9,E,32,0,,day,02-01-2018
timeanddate.com,buckley air force base,Sunny.,5,-11,,10,SE,26,0,,day,02-01-2018
timeanddate.com,walker field,Snow showers early. Morning clouds.,7,0,,24,WNW,44,52,8.5,week,08-01-2018
timeanddate.com,buckley air force base,Rain changing to snow. Mostly cloudy.,10,-4,,23,ENE,65,42,52.8,week,08-01-2018
timeanddate.com,hays municipal,Sunny.,-4,-17,,18,SW,37,2,,day,02-01-2018
timeanddate.com,kansas city downtown airport,Sunny.,-8,-22,,13,SW,35,2,,day,02-01-2018
timeanddate.com,hays municipal,Light snow late. Overcast.,12,-2,,31,NNW,49,38,35.9,week,08-01-2018
timeanddate.com,kansas city downtown airport,Sprinkles. Overcast.,13,5,,17,SSW,84,53,3.1,week,08-01-2018
timeanddate.com,lambert-st louis international airport,Mostly sunny.,-10,-22,,10,W,49,5,,day,02-01-2018
timeanddate.com,standiford field,Mostly sunny.,-8,-18,,11,W,42,4,,day,02-01-2018
timeanddate.com,lambert-st louis international airport,Broken clouds.,5,-5,,14,WNW,51,6,,week,08-01-2018
timeanddate.com,standiford field,Light rain. Decreasing cloudiness.,6,-3,,15,WNW,77,44,4.2,week,08-01-2018
timeanddate.com,nashville international airport,Mostly sunny.,-5,-16,,11,NNE,36,0,,day,02-01-2018
timeanddate.com,mcghee tyson airport,Mostly sunny.,-3,-14,,10,NNE,31,3,,day,02-01-2018
timeanddate.com,nashville international airport,Light rain. Overcast.,12,4,,21,S,93,53,5.7,week,08-01-2018
timeanddate.com,mcghee tyson airport,Rain. Overcast.,9,2,,8,WSW,98,49,16.2,week,08-01-2018
timeanddate.com,raleigh-durham international airport,Sunny.,-1,-10,,8,NNW,26,0,,day,02-01-2018
timeanddate.com,reagan national airport,Mostly sunny.,-3,-11,,13,WNW,36,4,,day,02-01-2018
timeanddate.com,raleigh-durham international airport,Partly cloudy.,11,0,,13,SSW,64,6,,week,08-01-2018
timeanddate.com,reagan national airport,Snow changing to rain. Overcast.,7,0,,12,SSW,89,42,10.5,week,08-01-2018
timeanddate.com,cleveland-hopkins international airport,Morning clouds.,-11,-16,,22,SW,66,14,,day,02-01-2018
timeanddate.com,greater rochester international airport,Cloudy.,-6,-12,,38,WSW,73,39,,day,02-01-2018
timeanddate.com,cleveland-hopkins international airport,Rain. Overcast.,5,2,,11,SE,98,50,18.6,week,08-01-2018
timeanddate.com,greater rochester international airport,Light snow. Overcast.,-1,-4,,23,NE,92,46,80.6,week,08-01-2018
timeanddate.com,bangor international airport,Mostly sunny.,-15,-25,,11,W,59,3,,day,02-01-2018
timeanddate.com,chicago midway airport,Sunny.,-12,-20,,27,WSW,59,8,,day,02-01-2018
timeanddate.com,bangor international airport,Light snow early. Mostly cloudy.,0,-13,,16,WNW,75,36,14.7,week,08-01-2018
timeanddate.com,chicago midway airport,Light snow. Mostly cloudy.,2,-7,,24,W,81,38,9.1,week,08-01-2018
timeanddate.com,st paul international airport,Partly sunny.,-12,-22,,22,WSW,67,16,,day,02-01-2018
timeanddate.com,foss field,Mostly sunny.,-11,-30,,21,WSW,80,1,,day,02-01-2018
timeanddate.com,st paul international airport,Light snow late. Broken clouds.,-6,-12,,18,NW,81,33,3.4,week,08-01-2018
timeanddate.com,foss field,Light snow. Overcast.,-2,-6,,23,N,92,43,18.1,week,08-01-2018
timeanddate.com,ellsworth air force base,Mostly sunny.,2,-20,,24,NW,44,1,,day,02-01-2018
timeanddate.com,rock springs weather reporting station,Mostly sunny.,0,-11,,11,W,47,0,,day,02-01-2018
timeanddate.com,ellsworth air force base,Light snow. Overcast.,-2,-10,,31,N,83,45,51.7,week,08-01-2018
timeanddate.com,rock springs weather reporting station,Light snow early. Morning clouds.,0,-8,,28,W,71,48,12.8,week,08-01-2018
timeanddate.com,boise air terminal,Mostly sunny.,-1,-6,,11,ESE,85,0,,day,02-01-2018
timeanddate.com,boise air terminal,A mixture of sun and clouds.,0,-5,,9,ENE,87,5,,day,02-01-2018
timeanddate.com,boise air terminal,Light snow early. Broken clouds.,5,0,,7,ENE,72,28,3.0,week,08-01-2018
timeanddate.com,boise air terminal,Broken clouds.,4,0,,6,SE,73,6,,week,08-01-2018
timeanddate.com,portland international airport,High level clouds.,7,2,,17,NE,65,6,,day,02-01-2018
timeanddate.com,felts field,Broken clouds.,-2,-7,,9,NE,83,1,,day,02-01-2018
timeanddate.com,portland international airport,Light rain. Overcast.,9,6,,3,E,92,54,4.8,week,08-01-2018
