website,location,type,max_temp,min_temp,avg_temp,wind_speed,wind_direction,humidity_percentage,pop,precipitation_amount,prediction_type,date
bbc.com,yuma,sunny,26,14,,10,SW,38.0,,,week,04-11-2017
bbc.com,yuma,sunny,34,17,24.625,6,NE,41.625,,,day,29-10-2017
bbc.com,san antonio,sunny,22,8,14.125,14,WSW,31.0,,,day,29-10-2017
bbc.com,san antonio,sunny,29,19,,16,S,62.0,,,week,04-11-2017
bbc.com,los angeles,sunny,20,14,,13,WSW,63.0,,,week,04-11-2017
bbc.com,los angeles,sunny intervals,23,16,18.375,8,S,83.25,,,day,29-10-2017
bbc.com,tucson international airport,sunny,27,13,,11,SSW,35.0,,,week,04-11-2017
bbc.com,tucson international airport,sunny,33,15,23.0,11,SSE,25.875,,,day,29-10-2017
bbc.com,beaumont,sunny,17,9,11.875,5,W,60.25,,,day,29-10-2017
bbc.com,beaumont,sunny intervals,26,21,,14,SSE,73.0,,,week,04-11-2017
bbc.com,valdosta regional airport,sunny,14,5,9.625,26,NW,54.375,,,day,29-10-2017
bbc.com,valdosta regional airport,sunny,27,16,,6,ENE,56.0,,,week,04-11-2017
bbc.com,pensacola,sunny,14,5,9.375,24,NNW,59.875,,,day,29-10-2017
bbc.com,pensacola,sunny intervals,25,18,,11,SSE,70.0,,,week,04-11-2017
bbc.com,houma,sunny intervals,26,19,,13,S,67.0,,,week,04-11-2017
bbc.com,houma,sunny,16,9,11.0,14,NNW,64.625,,,day,29-10-2017
bbc.com,miami,sunny intervals,25,11,19.5,27,NW,74.5,,,day,29-10-2017
bbc.com,miami,sunny intervals,27,22,,18,ENE,74.0,,,week,04-11-2017
bbc.com,columbia metropolitan airport,light cloud,16,4,10.125,24,W,64.625,,,day,29-10-2017
bbc.com,tuscaloosa municipal airport,sunny,12,4,7.625,16,NW,65.375,,,day,29-10-2017
bbc.com,columbia metropolitan airport,sunny intervals,25,14,,8,ENE,60.0,,,week,04-11-2017
bbc.com,atlanta,light cloud,10,3,6.75,31,NW,59.625,,,day,29-10-2017
bbc.com,tuscaloosa municipal airport,thick cloud,24,16,,10,N,68.0,,,week,04-11-2017
bbc.com,atlanta,sunny intervals,24,15,,13,SSW,72.0,,,week,04-11-2017
bbc.com,little rock,thick cloud,21,15,,14,E,75.0,,,week,04-11-2017
bbc.com,little rock,sunny,15,7,9.375,8,SW,54.125,,,day,29-10-2017
bbc.com,oklahoma city,sunny,19,12,,18,E,64.0,,,week,04-11-2017
bbc.com,oklahoma city,sunny,19,10,12.75,8,SW,55.25,,,day,29-10-2017
bbc.com,amarillo,sunny,22,8,,24,SSW,39.0,,,week,04-11-2017
bbc.com,amarillo,sunny,22,6,13.125,26,WSW,36.875,,,day,29-10-2017
bbc.com,albuquerque,sunny,20,7,12.75,8,SSW,53.25,,,day,29-10-2017
bbc.com,albuquerque,sunny,21,7,,13,SSW,37.0,,,week,04-11-2017
bbc.com,flagstaff,sunny,13,3,,26,SW,45.0,,,week,04-11-2017
bbc.com,flagstaff,sunny,20,6,12.25,10,SW,38.75,,,day,29-10-2017
bbc.com,las vegas,sunny,27,10,18.25,5,E,44.125,,,day,29-10-2017
bbc.com,las vegas,sunny,22,11,,14,S,38.0,,,week,04-11-2017
bbc.com,fresno,sunny,28,13,19.5,5,W,59.75,,,day,29-10-2017
bbc.com,fresno,sunny,18,9,,10,SW,57.0,,,week,04-11-2017
bbc.com,sacramento,sunny,26,12,17.625,3,SW,71.875,,,day,29-10-2017
bbc.com,salt lake city,light cloud,17,3,,19,SSE,62.0,,,week,04-11-2017
bbc.com,grand junction regional airport,sunny,16,5,,11,SSW,44.0,,,week,04-11-2017
bbc.com,salt lake city,sunny,21,7,13.625,11,ENE,68.375,,,day,29-10-2017
bbc.com,grand junction regional airport,sunny,19,5,10.625,5,SW,53.375,,,day,29-10-2017
bbc.com,sacramento,sunny,18,8,,14,SSW,58.0,,,week,04-11-2017
bbc.com,denver,sunny,22,-1,10.875,14,W,52.875,,,day,29-10-2017
bbc.com,denver,sunny,15,1,,16,NNE,41.0,,,week,04-11-2017
bbc.com,kansas city,thick cloud,13,8,,13,E,73.0,,,week,04-11-2017
bbc.com,kansas city,sunny,14,7,8.75,13,SSW,60.5,,,day,29-10-2017
bbc.com,louisville,drizzle,9,3,5.25,14,NW,68.625,,,day,29-10-2017
bbc.com,st louis,sunny intervals,10,6,6.25,8,WSW,56.25,,,day,29-10-2017
bbc.com,nashville,thick cloud,21,14,,13,SSW,77.0,,,week,04-11-2017
bbc.com,st louis,thick cloud,16,10,,13,ESE,70.0,,,week,04-11-2017
bbc.com,nashville,light cloud,8,3,5.0,16,NW,64.125,,,day,29-10-2017
bbc.com,louisville,thick cloud,18,12,,16,E,77.0,,,week,04-11-2017
bbc.com,knoxville,drizzle,7,1,4.375,14,NNW,67.75,,,day,29-10-2017
bbc.com,knoxville,thick cloud,21,12,,10,NW,77.0,,,week,04-11-2017
bbc.com,raleigh east airport,sunny,23,13,,10,E,65.0,,,week,04-11-2017
bbc.com,raleigh east airport,heavy rain shower,19,5,12.625,13,SSW,77.125,,,day,29-10-2017
bbc.com,washington dulles international airport,heavy rain shower,17,5,11.0,14,WSW,91.0,,,day,29-10-2017
bbc.com,washington dulles international airport,thick cloud,19,9,,13,SE,66.0,,,week,04-11-2017
bbc.com,bangor,light cloud,15,13,14.125,19,SSE,88.375,,,day,29-10-2017
bbc.com,rochester,heavy rain,8,7,7.625,13,N,94.875,,,day,29-10-2017
bbc.com,cleveland,light rain,11,4,7.5,18,NNW,72.125,,,day,29-10-2017
